Source,Country,Code,Year,Sex,Age,Deaths,Population
direct,Brazil,BRA,2015,f,87,13766.71087609932,94237.5
direct,Brazil,BRA,2015,f,88,13360.425214865696,73612.5
direct,Brazil,BRA,2015,f,89,12257.186786327757,56202.5
direct,Brazil,BRA,2015,f,90,11100.595526578903,42154.5
direct,Brazil,BRA,2015,f,91,9954.32214108678,30957
direct,Brazil,BRA,2015,f,92,8844.581503488345,22147.5
direct,Brazil,BRA,2015,f,93,7374.119499647118,15459.5
direct,Brazil,BRA,2015,f,94,6285.510015682943,10544.5
direct,Brazil,BRA,2015,f,95,5648.876183674199,6995.5
direct,Brazil,BRA,2015,f,96,4477.016526932244,4504
direct,Brazil,BRA,2015,f,97,3727.957725233497,2834.5
direct,Brazil,BRA,2015,f,98,2969.875459996831,1746.5
direct,Brazil,BRA,2015,f,99,2319.531258290878,1044.5
direct,Brazil,BRA,2015,f,100,6384.640277073631,1303.5
direct,Brazil,BRA,2015,m,0,20869.098200881785,1517573
direct,Brazil,BRA,2015,m,1,1332.3102205939829,1498999
direct,Brazil,BRA,2015,m,2,694.7869188588836,1493940.5
direct,Brazil,BRA,2015,m,3,514.0172441808246,1510265
direct,Brazil,BRA,2015,m,4,494.9199021051029,1522329
direct,Brazil,BRA,2015,m,5,401.5657811126717,1526141
direct,Brazil,BRA,2015,m,6,399.5556179714566,1531104.5
direct,Brazil,BRA,2015,m,7,317.2694182959163,1544789
direct,Brazil,BRA,2015,m,8,360.408955372597,1569181
direct,Brazil,BRA,2015,m,9,349.3539616841252,1594502
direct,Brazil,BRA,2015,m,10,402.1283094383565,1609557.5
direct,Brazil,BRA,2015,m,11,415.5596960920741,1610781.5
direct,Brazil,BRA,2015,m,12,500.9278575009407,1629859
direct,Brazil,BRA,2015,m,13,667.4934497994253,1668312
direct,Brazil,BRA,2015,m,14,1071.8168266606406,1696900.5
direct,Brazil,BRA,2015,m,15,1912.415762169777,1718667.5
direct,Brazil,BRA,2015,m,16,2807.991532270259,1739705.5
direct,Brazil,BRA,2015,m,17,3766.734004415293,1750292
direct,Brazil,BRA,2015,m,18,4340.376471510399,1748608.5
direct,Brazil,BRA,2015,m,19,4707.407352092117,1747217.5
direct,Brazil,BRA,2015,m,20,4962.026722250283,1740077.5
direct,Brazil,BRA,2015,m,21,4720.623222667986,1730070
direct,Brazil,BRA,2015,m,22,4403.507081490217,1721706.5
direct,Brazil,BRA,2015,m,23,4462.4854105942895,1723646
direct,Brazil,BRA,2015,m,24,4187.965277603525,1735953
direct,Brazil,BRA,2015,m,25,4248.246775632292,1746638
direct,Brazil,BRA,2015,m,26,4372.022845746828,1756188.5
direct,Brazil,BRA,2015,m,27,4305.803019309945,1766233.5
direct,Brazil,BRA,2015,m,28,4303.684224712205,1773545.5
direct,Brazil,BRA,2015,m,29,4322.993684545087,1776826.5
direct,Brazil,BRA,2015,m,30,4321.754823570302,1778543
direct,Brazil,BRA,2015,m,31,4300.773047803592,1772857
direct,Brazil,BRA,2015,m,32,4531.000026993813,1758535
direct,Brazil,BRA,2015,m,33,4729.764180164851,1734568
direct,Brazil,BRA,2015,m,34,4505.529389652145,1701896
direct,Brazil,BRA,2015,m,35,4716.699414890641,1662543.5
direct,Brazil,BRA,2015,m,36,4744.504691340533,1621170.5
direct,Brazil,BRA,2015,m,37,4845.609188899716,1578919
direct,Brazil,BRA,2015,m,38,4771.6012961259985,1535997
direct,Brazil,BRA,2015,m,39,4697.397923338926,1493405.5
direct,Brazil,BRA,2015,m,40,5084.136030833899,1452698
direct,Brazil,BRA,2015,m,41,4919.320343258432,1422166.5
direct,Brazil,BRA,2015,m,42,5406.393069957731,1394567
direct,Brazil,BRA,2015,m,43,5420.498612018156,1362698.5
direct,Brazil,BRA,2015,m,44,5643.36664066703,1333386.5
direct,Brazil,BRA,2015,m,45,6171.27824325024,1304794.5
direct,Brazil,BRA,2015,m,46,6379.7409001919095,1278592
direct,Brazil,BRA,2015,m,47,6645.217364698899,1260911
direct,Brazil,BRA,2015,m,48,6884.223691076971,1248994
direct,Brazil,BRA,2015,m,49,7411.103652820607,1235110
direct,Brazil,BRA,2015,m,50,7952.073096346834,1218356.5
direct,Brazil,BRA,2015,m,51,8467.983853365908,1196866.5
direct,Brazil,BRA,2015,m,52,8694.069138676236,1166624.5
direct,Brazil,BRA,2015,m,53,8893.141487766852,1130229.5
direct,Brazil,BRA,2015,m,54,9399.20825409782,1089919.5
direct,Brazil,BRA,2015,m,55,9712.510480761084,1047282
direct,Brazil,BRA,2015,m,56,10106.567640934629,1004242.5
direct,Brazil,BRA,2015,m,57,10579.076806874786,960730
direct,Brazil,BRA,2015,m,58,10758.02483276889,917438
direct,Brazil,BRA,2015,m,59,11157.10113887508,874880.5
direct,Brazil,BRA,2015,m,60,11604.040953562831,833316.5
direct,Brazil,BRA,2015,m,61,11858.648270257674,792472.5
direct,Brazil,BRA,2015,m,62,11993.24269594721,753102
direct,Brazil,BRA,2015,m,63,12176.367164358688,715617.5
direct,Brazil,BRA,2015,m,64,12260.289921238174,678192
direct,Brazil,BRA,2015,m,65,12813.916393763611,640873
direct,Brazil,BRA,2015,m,66,12762.964303635295,592849.5
direct,Brazil,BRA,2015,m,67,13361.89639027424,541125.5
direct,Brazil,BRA,2015,m,68,13213.987507810083,498747.5
direct,Brazil,BRA,2015,m,69,12941.095105086712,467657
direct,Brazil,BRA,2015,m,70,13007.540977176628,444202
direct,Brazil,BRA,2015,m,71,13510.45054644392,418829
direct,Brazil,BRA,2015,m,72,13549.893802313178,393603.5
direct,Brazil,BRA,2015,m,73,13414.84133473162,368658.5
direct,Brazil,BRA,2015,m,74,13573.01156848495,342348
direct,Brazil,BRA,2015,m,75,14739.239740567651,316124
direct,Brazil,BRA,2015,m,76,14345.292167790196,289161.5
direct,Brazil,BRA,2015,m,77,14021.78131778548,260684.5
direct,Brazil,BRA,2015,m,78,13976.718524401704,232900
direct,Brazil,BRA,2015,m,79,14242.248924846408,205452
direct,Brazil,BRA,2015,m,80,13611.380801729389,179802.5
direct,Brazil,BRA,2015,m,81,12638.609618683777,156946.5
direct,Brazil,BRA,2015,m,82,12723.602317310457,135182
direct,Brazil,BRA,2015,m,83,12573.501122311614,114218
direct,Brazil,BRA,2015,m,84,12252.510393857288,94670.5
