Country,Code,Year,Sex,Deaths,Age,Source
South Africa,ZAF,2017,f,6004,20,direct
South Africa,ZAF,2017,f,10229,25,direct
South Africa,ZAF,2017,f,12939.000000000002,30,direct
South Africa,ZAF,2017,f,12609,35,direct
South Africa,ZAF,2017,f,12959,40,direct
South Africa,ZAF,2017,f,14055,45,direct
South Africa,ZAF,2017,f,15379,50,direct
South Africa,ZAF,2017,f,17172,55,direct
South Africa,ZAF,2017,f,18453,60,direct
South Africa,ZAF,2017,f,19597,65,direct
South Africa,ZAF,2017,f,18280,70,direct
South Africa,ZAF,2017,f,21657,75,direct
South Africa,ZAF,2017,f,19325,80,direct
South Africa,ZAF,2017,f,32670.999999999996,85,direct
South Africa,ZAF,2017,m,13898.999999999998,0,direct
South Africa,ZAF,2017,m,5761,1,direct
South Africa,ZAF,2017,m,1834,5,direct
South Africa,ZAF,2017,m,1893,10,direct
South Africa,ZAF,2017,m,4193,15,direct
South Africa,ZAF,2017,m,8766,20,direct
South Africa,ZAF,2017,m,13486,25,direct
South Africa,ZAF,2017,m,17368.999999999996,30,direct
South Africa,ZAF,2017,m,17377,35,direct
South Africa,ZAF,2017,m,18776,40,direct
South Africa,ZAF,2017,m,18764,45,direct
South Africa,ZAF,2017,m,20589,50,direct
South Africa,ZAF,2017,m,23094,55,direct
South Africa,ZAF,2017,m,23541,60,direct
South Africa,ZAF,2017,m,23847.000000000004,65,direct
South Africa,ZAF,2017,m,18873,70,direct
South Africa,ZAF,2017,m,17064,75,direct
South Africa,ZAF,2017,m,10661,80,direct
South Africa,ZAF,2017,m,12545,85,direct
South Africa,ZAF,2017,t,26869,0,direct
South Africa,ZAF,2017,t,10880,1,direct
South Africa,ZAF,2017,t,3192,5,direct
South Africa,ZAF,2017,t,3268,10,direct
South Africa,ZAF,2017,t,7323,15,direct
South Africa,ZAF,2017,t,14770,20,direct
South Africa,ZAF,2017,t,23715,25,direct
South Africa,ZAF,2017,t,30308,30,direct
South Africa,ZAF,2017,t,29986,35,direct
South Africa,ZAF,2017,t,31735,40,direct
South Africa,ZAF,2017,t,32819,45,direct
South Africa,ZAF,2017,t,35968,50,direct
South Africa,ZAF,2017,t,40266,55,direct
South Africa,ZAF,2017,t,41994,60,direct
South Africa,ZAF,2017,t,43444,65,direct
South Africa,ZAF,2017,t,37153,70,direct
South Africa,ZAF,2017,t,38721,75,direct
South Africa,ZAF,2017,t,29986,80,direct
South Africa,ZAF,2017,t,45216,85,direct
South Africa,ZAF,2018,f,14000,0,direct
South Africa,ZAF,2018,f,4725,1,direct
South Africa,ZAF,2018,f,1418,5,direct
South Africa,ZAF,2018,f,1481,10,direct
South Africa,ZAF,2018,f,3104,15,direct
South Africa,ZAF,2018,f,5629,20,direct
South Africa,ZAF,2018,f,9585,25,direct
South Africa,ZAF,2018,f,11954,30,direct
South Africa,ZAF,2018,f,12523,35,direct
South Africa,ZAF,2018,f,12227,40,direct
South Africa,ZAF,2018,f,13839,45,direct
South Africa,ZAF,2018,f,15217,50,direct
South Africa,ZAF,2018,f,17261,55,direct
South Africa,ZAF,2018,f,18781,60,direct
South Africa,ZAF,2018,f,20391,65,direct
South Africa,ZAF,2018,f,18924,70,direct
South Africa,ZAF,2018,f,21648,75,direct
South Africa,ZAF,2018,f,19781,80,direct
