Source,Country,Code,Year,Sex,Age,Deaths
eurs,Albania,ALB,2017,f,40,80
eurs,Albania,ALB,2017,f,45,139
eurs,Albania,ALB,2017,f,50,216.99999999999997
eurs,Albania,ALB,2017,f,55,302
eurs,Albania,ALB,2017,f,60,451
eurs,Albania,ALB,2017,f,65,620
eurs,Albania,ALB,2017,f,70,917
eurs,Albania,ALB,2017,f,75,1740
eurs,Albania,ALB,2017,f,80,2169
eurs,Albania,ALB,2017,f,85,1932
eurs,Albania,ALB,2017,f,90,1665
eurs,Albania,ALB,2017,m,0,150
eurs,Albania,ALB,2017,m,5,16
eurs,Albania,ALB,2017,m,10,25.999999999999996
eurs,Albania,ALB,2017,m,15,48
eurs,Albania,ALB,2017,m,20,67
eurs,Albania,ALB,2017,m,25,78
eurs,Albania,ALB,2017,m,30,81
eurs,Albania,ALB,2017,m,35,110
eurs,Albania,ALB,2017,m,40,138
eurs,Albania,ALB,2017,m,45,250
eurs,Albania,ALB,2017,m,50,424.00000000000006
eurs,Albania,ALB,2017,m,55,705
eurs,Albania,ALB,2017,m,60,843
eurs,Albania,ALB,2017,m,65,1050
eurs,Albania,ALB,2017,m,70,1328
eurs,Albania,ALB,2017,m,75,1965
eurs,Albania,ALB,2017,m,80,2238
eurs,Albania,ALB,2017,m,85,1384.0000000000002
eurs,Albania,ALB,2017,m,90,649
eurs,Albania,ALB,2017,t,0,284
eurs,Albania,ALB,2017,t,5,29
eurs,Albania,ALB,2017,t,10,45
eurs,Albania,ALB,2017,t,15,76
eurs,Albania,ALB,2017,t,20,108
eurs,Albania,ALB,2017,t,25,104
eurs,Albania,ALB,2017,t,30,112
eurs,Albania,ALB,2017,t,35,164
eurs,Albania,ALB,2017,t,40,218
eurs,Albania,ALB,2017,t,45,389
eurs,Albania,ALB,2017,t,50,641
eurs,Albania,ALB,2017,t,55,1007
eurs,Albania,ALB,2017,t,60,1294
eurs,Albania,ALB,2017,t,65,1670
eurs,Albania,ALB,2017,t,70,2245
eurs,Albania,ALB,2017,t,75,3705
eurs,Albania,ALB,2017,t,80,4407
eurs,Albania,ALB,2017,t,85,3316.0000000000005
eurs,Albania,ALB,2017,t,90,2314
eurs,Albania,ALB,2018,f,0,125
eurs,Albania,ALB,2018,f,5,19
eurs,Albania,ALB,2018,f,10,19.999999999999996
eurs,Albania,ALB,2018,f,15,33
eurs,Albania,ALB,2018,f,20,28.999999999999996
eurs,Albania,ALB,2018,f,25,28.999999999999993
eurs,Albania,ALB,2018,f,30,30.000000000000004
eurs,Albania,ALB,2018,f,35,53
eurs,Albania,ALB,2018,f,40,78
eurs,Albania,ALB,2018,f,45,120
eurs,Albania,ALB,2018,f,50,181
eurs,Albania,ALB,2018,f,55,342
eurs,Albania,ALB,2018,f,60,475.9999999999999
eurs,Albania,ALB,2018,f,65,585
eurs,Albania,ALB,2018,f,70,810
eurs,Albania,ALB,2018,f,75,1694
eurs,Albania,ALB,2018,f,80,2132
eurs,Albania,ALB,2018,f,85,1773
eurs,Albania,ALB,2018,f,90,1569
eurs,Albania,ALB,2018,m,0,166
eurs,Albania,ALB,2018,m,5,13
eurs,Albania,ALB,2018,m,10,22.999999999999993
eurs,Albania,ALB,2018,m,15,38
eurs,Albania,ALB,2018,m,20,76
eurs,Albania,ALB,2018,m,25,77
eurs,Albania,ALB,2018,m,30,86
eurs,Albania,ALB,2018,m,35,102
