Year,Age,Deaths,Sex,Source,Country,Code,age_spn
2010,0,10884.34343718749,f,direct,USA,USA,1
2010,1,806.0254327795955,f,direct,USA,USA,1
2010,2,444.0140101167995,f,direct,USA,USA,1
2010,3,338.0106653591852,f,direct,USA,USA,1
2010,4,268.0084565569871,f,direct,USA,USA,1
2010,5,208.00656329796013,f,direct,USA,USA,1
2010,6,211.0066579609115,f,direct,USA,USA,1
2010,7,193.0060899832034,f,direct,USA,USA,1
2010,8,209.00659485227726,f,direct,USA,USA,1
2010,9,184.00580599434934,f,direct,USA,USA,1
2010,10,197.00621620047187,f,direct,USA,USA,1
2010,11,223.0070366127169,f,direct,USA,USA,1
2010,12,244.00769925337633,f,direct,USA,USA,1
2010,13,243.0076676990592,f,direct,USA,USA,1
2010,14,313.00987650125734,f,direct,USA,USA,1
2010,15,362.011422662796,f,direct,USA,USA,1
2010,16,514.0162189189977,f,direct,USA,USA,1
2010,17,578.0182383952931,f,direct,USA,USA,1
2010,18,716.0225928910551,f,direct,USA,USA,1
2010,19,851.0268527238658,f,direct,USA,USA,1
2010,20,875.0276100274765,f,direct,USA,USA,1
2010,21,933.0294401778693,f,direct,USA,USA,1
2010,22,938.0295979494549,f,direct,USA,USA,1
2010,23,939.029629503772,f,direct,USA,USA,1
2010,24,1055.0332898045574,f,direct,USA,USA,1
2010,25,1063.0335422390945,f,direct,USA,USA,1
2010,26,1085.0342364340709,f,direct,USA,USA,1
2010,27,1105.0348675204132,f,direct,USA,USA,1
2010,28,1261.0397899938832,f,direct,USA,USA,1
2010,29,1320.0416516985931,f,direct,USA,USA,1
2010,30,1414.044617804402,f,direct,USA,USA,1
2010,31,1351.0426298824239,f,direct,USA,USA,1
2010,32,1470.0463848461604,f,direct,USA,USA,1
2010,33,1448.045690651184,f,direct,USA,USA,1
2010,34,1550.04890919153,f,direct,USA,USA,1
2010,35,1699.0536107847802,f,direct,USA,USA,1
2010,36,1869.0589750186898,f,direct,USA,USA,1
2010,37,1999.0630770799148,f,direct,USA,USA,1
2010,38,2255.0711549850967,f,direct,USA,USA,1
2010,39,2576.081283920891,f,direct,USA,USA,1
2010,40,2712.0855753080186,f,direct,USA,USA,1
2010,41,2911.0918546171247,f,direct,USA,USA,1
2010,42,3107.098039263279,f,direct,USA,USA,1
2010,43,3491.110156121052,f,direct,USA,USA,1
2010,44,3980.125586182122,f,direct,USA,USA,1
2010,45,4461.140763808655,f,direct,USA,USA,1
2010,46,5342.168563162034,f,direct,USA,USA,1
2010,47,5739.181090225929,f,direct,USA,USA,1
2010,48,6197.195542103167,f,direct,USA,USA,1
2010,49,6884.217219919027,f,direct,USA,USA,1
2010,50,7527.237509344933,f,direct,USA,USA,1
2010,51,7887.248868899093,f,direct,USA,USA,1
2010,52,8717.2750589823,f,direct,USA,USA,1
2010,53,8894.280644096429,f,direct,USA,USA,1
2010,54,9541.301059739604,f,direct,USA,USA,1
2010,55,9631.303899628145,f,direct,USA,USA,1
2010,56,10338.326208530347,f,direct,USA,USA,1
2010,57,10529.332235404914,f,direct,USA,USA,1
