"age" "country" "eta.1" "eta.1.low" "eta.1.up" "roa.1" "roa.1.low" "roa.1.up" "eta.2" "eta.2.low" "eta.2.up" "roa.2" "roa.2.low" "roa.2.up" "delta" "delta.low" "delta.up"
"1" 15 "Albania" -7.90437786975864 -8.03867209248481 -7.77008364703248 0.013192409314323 -0.00760672651153703 0.033991545140183 -10.0676079210993 -10.3468013404111 -9.78841450178745 0.0674235276749435 0.0402136641358093 0.0946333912140778 -0.0542311183606206 -0.0884799245430392 -0.0199823121782019
"2" 16 "Albania" -7.89118546044432 -8.00850763551023 -7.7738632853784 0.0131842314720658 -0.00754319287553065 0.0339116558196623 -10.0001843934243 -10.2560334224594 -9.74433536438928 0.0674381823900081 0.0402632109359737 0.0946131538440425 -0.0542539509179418 -0.0884315048622036 -0.0200763969736801
"3" 17 "Albania" -7.87800940681451 -7.97984345222277 -7.77617536140625 0.0131509615520771 -0.0072862965720216 0.0335882196761757 -9.93273155631927 -10.1661058713642 -9.69935724127431 0.0674986746409871 0.0404671625443467 0.0945301867376275 -0.0543477130889096 -0.0882355304553594 -0.0204598957224599
"4" 18 "Albania" -7.86488353734017 -7.95345537861037 -7.77631169606996 0.0130746043830205 -0.00670677062404003 0.0328559793900811 -9.86518704414237 -10.0772595181107 -9.65311457017408 0.0676400259302063 0.0409400906766921 0.0943399611837206 -0.0545654215471858 -0.0877947661045468 -0.0213360769898248
"5" 19 "Albania" -7.85186019804847 -7.93019230407525 -7.77352809202169 0.0129362122718524 -0.00569623798835217 0.0315686625320569 -9.79745150445885 -9.98975641842863 -9.60514659048908 0.067901164523076 0.0417998253890001 0.094002503657152 -0.0549649522512237 -0.0870343786148342 -0.0228955258876131
"6" 20 "Albania" -7.83901111279646 -7.91058373941619 -7.76743848617673 0.0127160397780783 -0.00421662815124363 0.0296487077074003 -9.72938471509621 -9.90382847427276 -9.55494095591967 0.0683249282730243 0.0431534975022654 0.0934963590437831 -0.0556088884949464 -0.0859456017357013 -0.0252721752541915
"7" 21 "Albania" -7.82642811849231 -7.8943392976653 -7.75851693931932 0.0125570931118602 -0.00238163331634754 0.0274958195400678 -9.66080164791281 -9.81959256526763 -9.50201073055798 0.0689752606711327 0.0450273635729743 0.0929231577692911 -0.0564181675592721 -0.0846434633543708 -0.0281928717641734
"8" 22 "Albania" -7.81389692657274 -7.88018478096919 -7.74760907217629 0.0127709198512713 -0.000371228353721203 0.0259130680562638 -9.59143419375395 -9.7369417331622 -9.44592665434569 0.0699391916641972 0.0473898657261559 0.0924885176022384 -0.0571682718129258 -0.083267853413059 -0.0310686902127927
"9" 23 "Albania" -7.80088627878977 -7.8664989000189 -7.73527365756064 0.0136800016904925 0.00176656684349503 0.0255934365374901 -9.52092326458441 -9.65553285269443 -9.3863136764744 0.0713120350924896 0.0502351048023169 0.0923889653826624 -0.0576320334019975 -0.0818429177375698 -0.0334211490664253
"10" 24 "Albania" -7.78653692319175 -7.85174412534458 -7.72132972103893 0.015618236039876 0.00435167159635579 0.0268848004833962 -9.44881012356897 -9.57478264972189 -9.32283759741605 0.0731982884256199 0.05360430032931 0.0927922765219298 -0.0575800523857444 -0.0801822612131649 -0.0349778435583238
"11" 25 "Albania" -7.76964980671002 -7.83445497314574 -7.7048446402743 0.0189315163716159 0.00810399773373067 0.0297590350095012 -9.37452668773317 -9.49386465993633 -9.25518871553002 0.0757126259900565 0.0575916681594997 0.0938335838206132 -0.0567811096184405 -0.0778904505022902 -0.0356717687345908
"12" 26 "Albania" -7.74867389044852 -7.81293952877306 -7.68440825212398 0.0237196409215037 0.0132861606747592 0.0341531211682482 -9.29738487158886 -9.41170409257638 -9.18306565060133 0.0788136718575441 0.062091126449469 0.0955362172656192 -0.0550940309360408 -0.0748044605352236 -0.035383601336858
"13" 27 "Albania" -7.72221052486701 -7.78564737439177 -7.65877367534225 0.029827625531575 0.0195236649277971 0.040131586135353 -9.21689934401808 -9.3273632333365 -9.10643545469967 0.0822891629327893 0.0667604365881655 0.0978178892774131 -0.0524615374012143 -0.0710978714294083 -0.0338252033730203
"14" 28 "Albania" -7.68901863938537 -7.75133022449883 -7.62670705427191 0.0370953743469333 0.0265861827711615 0.0476045659227052 -9.13280654572328 -9.24017089463869 -9.02544219680786 0.0859074335212622 0.0712849117355438 0.100529955306981 -0.0488120591743284 -0.066819314682875 -0.0308048036657818
"15" 29 "Albania" -7.64801977617314 -7.70910859765791 -7.58693095468838 0.0453579244111393 0.0345536506397287 0.0561621981825498 -9.04508447697556 -9.14981286564974 -8.94035608830137 0.089416943588172 0.0754415283215494 0.103392358854795 -0.0440590191770331 -0.0617238023232294 -0.0263942360308369
"16" 30 "Albania" -7.59830279056309 -7.65834521679385 -7.53826036433234 0.05444558926609 0.0436650706611488 0.0652261078710312 -8.95397265854693 -9.05634913006995 -8.85159618702392 0.092546031080035 0.0790994170841862 0.105992645075884 -0.0381004418139446 -0.0553350294024203 -0.0208658542254688
"17" 31 "Albania" -7.53912859764096 -7.5983560043186 -7.47990119096333 0.0639525487188881 0.0535221707930185 0.0743829266447577 -8.85999241481549 -8.96016467865407 -8.75982015097691 0.0951065167615806 0.082121183688297 0.108091849834864 -0.031153968042692 -0.0478096475154899 -0.0144982885698941
"18" 32 "Albania" -7.47039769312532 -7.52884691871983 -7.41194846753081 0.0732248831408921 0.0630644772708674 0.0833852890109169 -8.76375962502377 -8.86174655735184 -8.6657726926957 0.0969999763118858 0.0843187741797877 0.109681178443984 -0.0237750931709932 -0.0400246080855611 -0.00752557825642536
"19" 33 "Albania" -7.39267883135918 -7.45024164587942 -7.33511601683894 0.0815812173097199 0.0713830105793539 0.0917794240400859 -8.66599246219172 -8.76174798748391 -8.57023693689953 0.0981206259865459 0.0855571747066185 0.110684077266473 -0.0165394086768265 -0.0327209947727069 -0.000357822580946045
"20" 34 "Albania" -7.30723525850588 -7.36387141147136 -7.25059910554039 0.0883181935309652 0.0779456278920317 0.0986907591698986 -8.56751837305068 -8.66101965958936 -8.474017086512 0.0983566624079097 0.0858235426538743 0.110889782161945 -0.010038468876945 -0.026307126126484 0.00623018837259394
"21" 35 "Albania" -7.21604244429725 -7.27188990809562 -7.16019498049888 0.0927176474197058 0.0824616550962325 0.102973639743179 -8.4692791373759 -8.56057283011728 -8.37798544463451 0.0975920365627143 0.0851892979152429 0.109994775210186 -0.00487438914300853 -0.0209682794277291 0.0112195011417121
