"age" "sex" "iso3" "deltas"
"133" 30 "Male" "AUS" 0.0284517529554993
"134" 35 "Male" "AUS" 0.0229263067276056
"135" 40 "Male" "AUS" 0.00444091183849227
"136" 45 "Male" "AUS" -0.0108043330596281
"137" 50 "Male" "AUS" -0.00198043437456579
"138" 55 "Male" "AUS" 0.0604423398796484
"139" 60 "Male" "AUS" 0.18757083676042
"140" 65 "Male" "AUS" 0.326054768710682
"141" 70 "Male" "AUS" 0.418873972988467
"142" 75 "Male" "AUS" 0.465557612328156
"143" 80 "Male" "AUS" 0.485706831899807
"144" 85 "Male" "AUS" 0.498949014315112
"145" 0 "Female" "AUT" -0.0762089224236022
"146" 5 "Female" "AUT" -0.0562193641773614
"147" 10 "Female" "AUT" -0.03740014147225
"148" 15 "Female" "AUT" -0.0215221014477775
"149" 20 "Female" "AUT" -0.00938222713093551
"150" 25 "Female" "AUT" -0.00139159058541729
"151" 30 "Female" "AUT" 0.00155836548505136
"152" 35 "Female" "AUT" -0.00167888174898639
"153" 40 "Female" "AUT" -0.00935169477038728
"154" 45 "Female" "AUT" -0.0163004628065674
"155" 50 "Female" "AUT" -0.018751173493289
"156" 55 "Female" "AUT" -0.0160018812628511
"157" 60 "Female" "AUT" -0.00727265085558823
"158" 65 "Female" "AUT" 0.00964663833312137
"159" 70 "Female" "AUT" 0.0357282599019868
"160" 75 "Female" "AUT" 0.0629856586288641
"161" 80 "Female" "AUT" 0.0810305548658136
"162" 85 "Female" "AUT" 0.0896617293409677
"163" 0 "Male" "AUT" -0.149029123280587
"164" 5 "Male" "AUT" -0.13540372973277
"165" 10 "Male" "AUT" -0.120436436427936
"166" 15 "Male" "AUT" -0.104283941755219
"167" 20 "Male" "AUT" -0.0858419419806434
"168" 25 "Male" "AUT" -0.0635885465965624
"169" 30 "Male" "AUT" -0.037738564684642
"170" 35 "Male" "AUT" -0.00978732956014407
"171" 40 "Male" "AUT" 0.0178816874938162
"172" 45 "Male" "AUT" 0.0418748234842915
"173" 50 "Male" "AUT" 0.059084578393632
"174" 55 "Male" "AUT" 0.0670727398520344
"175" 60 "Male" "AUT" 0.0667216417726654
"176" 65 "Male" "AUT" 0.0696782400346849
"177" 70 "Male" "AUT" 0.0867445690541107
"178" 75 "Male" "AUT" 0.110765599360069
"179" 80 "Male" "AUT" 0.12879811396995
"180" 85 "Male" "AUT" 0.134535547099368
"181" 0 "Female" "BEL" 0.0486549918302951
"182" 5 "Female" "BEL" 0.0256794509825168
"183" 10 "Female" "BEL" 0.00375792751652867
"184" 15 "Female" "BEL" -0.0174129638466961
"185" 20 "Female" "BEL" -0.0363205698816028
"186" 25 "Female" "BEL" -0.0508692244530309
"187" 30 "Female" "BEL" -0.0617138610111118
"188" 35 "Female" "BEL" -0.0714496808735557
"189" 40 "Female" "BEL" -0.0813211892117258
"190" 45 "Female" "BEL" -0.0908990169521822
"191" 50 "Female" "BEL" -0.0957740275400089
"192" 55 "Female" "BEL" -0.08399174656423
"193" 60 "Female" "BEL" -0.0479572070585092
"194" 65 "Female" "BEL" 0.00257976709812314
"195" 70 "Female" "BEL" 0.0539178699651095
"196" 75 "Female" "BEL" 0.0902642161061868
"197" 80 "Female" "BEL" 0.0966474865462386
"198" 85 "Female" "BEL" 0.0577815928713407
"199" 0 "Male" "BEL" -0.118686469161432
"200" 5 "Male" "BEL" -0.101266865643024
"201" 10 "Male" "BEL" -0.0813167711823412
"202" 15 "Male" "BEL" -0.0587476476271357
"203" 20 "Male" "BEL" -0.0345397329008175
"204" 25 "Male" "BEL" -0.0102090854270844
"205" 30 "Male" "BEL" 0.0117308525056214
"206" 35 "Male" "BEL" 0.0280304129528471
"207" 40 "Male" "BEL" 0.0348336511625822
"208" 45 "Male" "BEL" 0.0276523030076431
"209" 50 "Male" "BEL" 0.00955765514510643
"210" 55 "Male" "BEL" -0.00162072501225887
"211" 60 "Male" "BEL" 0.00907366555116185
"212" 65 "Male" "BEL" 0.0414353051588496
"213" 70 "Male" "BEL" 0.0895252594768202
"214" 75 "Male" "BEL" 0.132266457280604
"215" 80 "Male" "BEL" 0.145187405588517
"216" 85 "Male" "BEL" 0.108586744150017
"217" 0 "Female" "BGR" -0.178158727945721
"218" 5 "Female" "BGR" -0.152481908880996
"219" 10 "Female" "BGR" -0.125827088070718
"220" 15 "Female" "BGR" -0.0992772048082594
"221" 20 "Female" "BGR" -0.0737327192460814
"222" 25 "Female" "BGR" -0.0499708417538051
"223" 30 "Female" "BGR" -0.0281672425092033
"224" 35 "Female" "BGR" -0.00801010546120953
"225" 40 "Female" "BGR" 0.0125275517617879
"226" 45 "Female" "BGR" 0.0374595583953937
"227" 50 "Female" "BGR" 0.0683540752152105
"228" 55 "Female" "BGR" 0.101805120392906
"229" 60 "Female" "BGR" 0.130932626328733
"230" 65 "Female" "BGR" 0.139223774030936
"231" 70 "Female" "BGR" 0.11394625236892
"232" 75 "Female" "BGR" 0.0760982768767989
"233" 80 "Female" "BGR" 0.056972805865008
"234" 85 "Female" "BGR" 0.0827784856822756
"235" 0 "Male" "BGR" -0.25444404086336
"236" 5 "Male" "BGR" -0.210991355322321
"237" 10 "Male" "BGR" -0.166669375523606
"238" 15 "Male" "BGR" -0.122341234278137
"239" 20 "Male" "BGR" -0.0778823824848475
"240" 25 "Male" "BGR" -0.0329782756925254
"241" 30 "Male" "BGR" 0.00946435769552869
"242" 35 "Male" "BGR" 0.0442943684972104
"243" 40 "Male" "BGR" 0.0687745382832828
"244" 45 "Male" "BGR" 0.0830979229314003
"245" 50 "Male" "BGR" 0.0910086940774825
"246" 55 "Male" "BGR" 0.10282342926468
"247" 60 "Male" "BGR" 0.124397193466754
"248" 65 "Male" "BGR" 0.144272712639266
"249" 70 "Male" "BGR" 0.150086439429009
"250" 75 "Male" "BGR" 0.145126940567304
"251" 80 "Male" "BGR" 0.138141178857107
"252" 85 "Male" "BGR" 0.137704865134863
"253" 0 "Female" "BRA" -0.15985298248375
"254" 5 "Female" "BRA" -0.128285077381734
"255" 10 "Female" "BRA" -0.080206218473699
"256" 15 "Female" "BRA" -0.0203921958921132
"257" 20 "Female" "BRA" 0.0384527355975412
"258" 25 "Female" "BRA" 0.0811328626097354
"259" 30 "Female" "BRA" 0.105192253027282
"260" 35 "Female" "BRA" 0.117276916507174
"261" 40 "Female" "BRA" 0.121425363733353
"262" 45 "Female" "BRA" 0.118384403154228
"263" 50 "Female" "BRA" 0.110769108545624
"264" 55 "Female" "BRA" 0.105190837071237
"265" 60 "Female" "BRA" 0.104951944266714
"266" 65 "Female" "BRA" 0.100849519125378
"267" 70 "Female" "BRA" 0.0836997096883983
"268" 75 "Female" "BRA" 0.0595588086388975
"269" 80 "Female" "BRA" 0.038373090877094
"270" 85 "Female" "BRA" -0.00780508260389447
"271" 0 "Male" "BRA" -0.185216829632178
"272" 5 "Male" "BRA" -0.146928467485188
"273" 10 "Male" "BRA" -0.0993808552428657
"274" 15 "Male" "BRA" -0.0495828889100934
"275" 20 "Male" "BRA" -0.00442854447309699
"276" 25 "Male" "BRA" 0.0298531020055829
"277" 30 "Male" "BRA" 0.0553847312723225
"278" 35 "Male" "BRA" 0.0800359516402815
"279" 40 "Male" "BRA" 0.103251837122197
"280" 45 "Male" "BRA" 0.114473803778921
"281" 50 "Male" "BRA" 0.111158684919047
"282" 55 "Male" "BRA" 0.107451550749729
"283" 60 "Male" "BRA" 0.113280931033142
"284" 65 "Male" "BRA" 0.118218886836317
"285" 70 "Male" "BRA" 0.110585523368585
"286" 75 "Male" "BRA" 0.0960171767762332
"287" 80 "Male" "BRA" 0.0846962602909904
"288" 85 "Male" "BRA" 0.0519360954747104
"289" 0 "Female" "CAN" -0.12151892982469
