"1" "2" "3" "4" "5" "6" "7" "8"
"0" -0.0672238843650888 -0.251194230008366 -0.223316735633212 -0.113284110822782 -0.168829941874257 -0.445167644118339 -0.109308825148213 -0.330921938830377
"1" -0.0612242483605802 -0.235968550176848 -0.233153177337843 -0.108867202308212 -0.157304154537095 -0.43291751148098 -0.104543566021844 -0.266934965627132
"5" -0.0437127783072108 -0.193046884442183 -0.246116068643355 -0.0946861470874426 -0.124103780315941 -0.395822192675611 -0.0892671856656355 -0.118987517226489
"10" -0.0266427910460643 -0.153872389902987 -0.241023523761925 -0.0795804808379781 -0.0920038886046597 -0.359134084560874 -0.0729135498657405 -0.0476837127000677
"15" -0.0105871820042504 -0.116638316863583 -0.22187628022323 -0.0658794834621094 -0.0593813520866403 -0.324141752188999 -0.0555538938485794 -0.0396771586806098
"20" 0.00218696633021714 -0.0824602467427944 -0.193862474055043 -0.056234958469606 -0.0278633896926318 -0.293581073099041 -0.0377115665262637 -0.0642321684043234
"25" 0.0111785643306859 -0.0506857792392593 -0.161313486277812 -0.0506220377479467 0.000549437762256933 -0.269272598366003 -0.0194295197464006 -0.086003825430524
"30" 0.0175978597396436 -0.021358745379804 -0.123456609783275 -0.0470863593381847 0.0231673535356293 -0.252708934955935 -0.000601608909638586 -0.083745014674488
"35" 0.0223882306322277 0.000779947601779852 -0.0744100157882262 -0.0440723316657022 0.0365659152005976 -0.244065953978563 0.0188336849717611 -0.0545884629865459
"40" 0.024714015805564 0.0124786636001875 -0.0215222320759778 -0.0395704245569917 0.0385058443355171 -0.239805363984378 0.0375658612224783 -0.00689349203694352
"45" 0.0241364044335136 0.0166131373635396 0.0243270289035757 -0.032080952565992 0.0322576023201381 -0.232966787893342 0.0543407406118618 0.0475705504571009
"50" 0.0216787319533663 0.0215336407875031 0.057684616180635 -0.0208618515399852 0.0261083335886023 -0.213680601551383 0.0686613236535735 0.100995581576687
"55" 0.0190294586060616 0.0352800292720417 0.0808651688409345 -0.00556521538899357 0.0276322318419966 -0.170726131914564 0.080035099769578 0.15246802245783
"60" 0.016827011761885 0.0592882734448242 0.0976877660391 0.0119438623523208 0.0386365925867597 -0.0993299560283745 0.0859674653485621 0.186143552751218
"65" 0.016613581478513 0.0852340319600826 0.111948587358931 0.0279965637896627 0.0517211895866466 -0.00304924407917631 0.0851866449952739 0.188962917843044
"70" 0.0180720580982398 0.0999240679434023 0.125784760423207 0.0394896414672735 0.0568932324753051 0.109957209997329 0.0786569675000531 0.163118912936604
"75" 0.0146704261955899 0.0983207534927642 0.138544891732073 0.0475507839978119 0.0559873327853431 0.233938383892676 0.0675961987322867 0.127862164157723
"80" 0.0101459099051617 0.0946178028282221 0.154726203650053 0.0578804200652415 0.0606138892288335 0.363764657835754 0.0520827690016228 0.121255827250777
"85" 0.00952959920967878 0.10575701549211 0.178537354036609 0.0765541082409896 0.0724881672619194 0.495715193435677 0.0334244665789015 0.152492987398672
"90" 0.0129520266427739 0.137009606412996 0.207199634134619 0.105626356280071 0.0816037035389611 0.627994852129599 0.0141827653180567 0.183619617412966
"95" 0.0170597841557341 0.177547539271598 0.229273831223657 0.140585298418189 0.0828296546903111 0.760310959290755 -0.00440357106181249 0.158620468332732
