Country,iso3,sex,age,Nx,deaths
Australia,AUS,Male,40,810368,697.6345184012
Australia,AUS,Male,45,831536,1040.01968629739
Australia,AUS,Male,50,768934,1390.32127426055
Australia,AUS,Male,55,767400,2162.17223078954
Australia,AUS,Male,60,693712,2897.40974450882
Australia,AUS,Male,65,601807,5747.32096861585
Australia,AUS,Male,70,527592,8085.63354589533
Australia,AUS,Male,75,365811,9836.15193320274
Australia,AUS,Male,80,241273,12086.3943372373
Australia,AUS,Male,85,206243,25940.1294544242
Austria,AUT,Female,0,217802,131.436883553788
Austria,AUT,Female,5,206020,9.88247244765327
Austria,AUT,Female,10,205043,13.8354614267146
Austria,AUT,Female,15,218866,42.4946315249091
Austria,AUT,Female,20,245500,34.5886535667865
Austria,AUT,Female,25,294550,69.1773071335729
Austria,AUT,Female,30,304547,101.789466210829
Austria,AUT,Female,35,308423,152.19007569386
Austria,AUT,Female,40,281246,206.543674155953
Austria,AUT,Female,45,307276,356.757255360283
Austria,AUT,Female,50,356193,634.45473113934
Austria,AUT,Female,55,346719,1081.14248577327
Austria,AUT,Female,60,297693,1538.70096009961
Austria,AUT,Female,65,237002,2018.0008738108
Austria,AUT,Female,70,219951,3134.72026039562
Austria,AUT,Female,75,214616,5203.12174368945
Austria,AUT,Female,80,153112,7038.29687721866
Austria,AUT,Female,85,152150,24167.5863707361
Austria,AUT,Male,0,230364,160.096053651983
Austria,AUT,Male,5,219996,16.8002031610106
Austria,AUT,Male,10,218795,25.6944283638985
Austria,AUT,Male,15,233504,74.1185433573996
Austria,AUT,Male,20,263261,124.519152840431
Austria,AUT,Male,25,312066,132.425130798554
Austria,AUT,Male,30,315827,216.426146603607
Austria,AUT,Male,35,314619,241.13232772274
Austria,AUT,Male,40,284438,404.193123109019
Austria,AUT,Male,45,305305,592.948346859196
Austria,AUT,Male,50,357250,1239.26204493572
Austria,AUT,Male,55,346838,2105.95487859491
Austria,AUT,Male,60,284670,2840.22258145555
Austria,AUT,Male,65,213955,3423.2884558671
Austria,AUT,Male,70,187337,4869.09417495877
Austria,AUT,Male,75,168533,6825.82371959411
Austria,AUT,Male,80,107116,7730.06994855439
Austria,AUT,Male,85,75817,13520.2105556344
Belgium,BEL,Female,0,307312,201.896989091589
Belgium,BEL,Female,5,323492,17.8144402139637
Belgium,BEL,Female,10,325878,38.5979537969214
Belgium,BEL,Female,15,311548,49.4845561498991
Belgium,BEL,Female,20,319940,55.4227028878871
Belgium,BEL,Female,25,356225,76.2062164708447
Belgium,BEL,Female,30,370928,128.659845989738
Belgium,BEL,Female,35,379176,203.876371337585
Belgium,BEL,Female,40,370085,343.4228196803
Belgium,BEL,Female,45,374378,551.257955509877
Belgium,BEL,Female,50,390266,916.453979896133
Belgium,BEL,Female,55,396926,1470.681008775
Belgium,BEL,Female,60,370684,2226.80502674546
Belgium,BEL,Female,65,327435,3137.32085990361
Belgium,BEL,Female,70,295438,4557.52762140571
Belgium,BEL,Female,75,212378,5644.2084744575
Belgium,BEL,Female,80,188560,9847.42667382993
Belgium,BEL,Female,85,224632,35346.818457873
Belgium,BEL,Male,0,326341,221.690811551548
Belgium,BEL,Male,5,345558,27.7113514439435
Belgium,BEL,Male,10,345591,24.7422780749496
Belgium,BEL,Male,15,329234,80.1649809628367
Belgium,BEL,Male,20,337762,166.268108663661
Belgium,BEL,Male,25,372158,207.835135829576
Belgium,BEL,Male,30,375267,289.979499038409
Belgium,BEL,Male,35,378626,392.9073758302
Belgium,BEL,Male,40,381481,540.371353156899
Belgium,BEL,Male,45,392495,943.175640217079
