Country,Sources,Source,Deaths,ages,sexs,years,period
Kyrgyzstan,1,unpd,207710,22,3,6,2015-2020
Latvia,4,eurs,206256,19,3,7,2015-2021
Latvia,4,stmf,206236,19,3,7,2015-2021
Latvia,4,unpd,142628,22,3,5,2015-2020
Latvia,4,who_mort_db,169470,21,3,6,2015-2020
Lebanon,1,unpd,107953.6926,19,3,3,2017-2021
Lesotho,1,unpd,53839,16,3,4,2017-2020
Liechtenstein,2,eurs,1902,19,3,7,2015-2021
Liechtenstein,2,unpd,1376,22,3,5,2016-2020
Lithuania,5,eurs,292802,19,3,7,2015-2021
Lithuania,5,hmd,244425.99,111,3,6,2015-2020
Lithuania,5,stmf,292802,19,3,7,2015-2021
Lithuania,5,unpd,291158,19,3,6,2015-2021
Lithuania,5,who_mort_db,244426,21,3,6,2015-2020
Luxembourg,4,eurs,29963,19,3,7,2015-2021
Luxembourg,4,hmd,25423,111,3,6,2015-2020
Luxembourg,4,stmf,29963,19,3,7,2015-2021
Luxembourg,4,unpd,29907,19,3,6,2015-2021
Malaysia,1,unpd,998439,19,3,6,2015-2020
Maldives,1,unpd,7213,16,3,5,2015-2020
Malta,2,eurs,26017,19,3,7,2015-2021
Malta,2,unpd,25868,19,3,6,2015-2021
Martinique,1,unpd,19995,22,3,6,2015-2020
Mauritius,2,unpd,76356,22,3,7,2015-2021
Mauritius,2,who_mort_db,62351,21,3,6,2015-2020
Mayotte,1,unpd,4578,22,3,6,2015-2020
Mexico,3,direct,4578360,101,3,6,2015-2020
Mexico,3,unpd,4529171.322,20,3,6,2015-2020
Mexico,3,who_mort_db,4502881,21,3,6,2015-2020
Moldova,1,unpd,274928,19,3,7,2015-2021
Mongolia,1,unpd,126903,16,3,7,2015-2021
Montenegro,2,eurs,47543,19,3,7,2015-2021
Montenegro,2,unpd,42396,19,3,5,2015-2021
Montserrat,1,unpd,267,20,3,6,2015-2020
Netherlands,4,eurs,1093371,19,3,7,2015-2021
Netherlands,4,stmf,1093806,19,3,7,2015-2021
Netherlands,4,unpd,1090322,19,3,6,2015-2021
Netherlands,4,who_mort_db,920271,21,3,6,2015-2020
New Zealand,2,hmd,231143.94,111,3,7,2015-2021
New Zealand,2,unpd,226092,22,3,7,2015-2021
Nicaragua,1,unpd,152395,21,3,6,2015-2020
North Macedonia,2,unpd,127092,22,3,6,2015-2020
North Macedonia,2,who_mort_db,127128,21,3,6,2015-2020
Norway,4,eurs,286938,19,3,7,2015-2021
Norway,4,hmd,244362,111,3,6,2015-2020
Norway,4,stmf,286845,21,3,7,2015-2021
Norway,4,unpd,286018,19,3,6,2015-2021
Oman,1,who_mort_db,43611,19,3,5,2016-2020
Panama,1,unpd,121466,22,3,6,2015-2020
Paraguay,1,unpd,237564,20,3,7,2015-2021
Peru,2,direct,801717,101,3,5,2017-2021
Peru,2,unpd,1077963,19,3,7,2015-2021
Poland,3,eurs,3014578,19,3,7,2015-2021
Poland,3,stmf,3014578,19,3,7,2015-2021
Poland,3,unpd,3013789,19,3,5,2015-2021
Portugal,4,eurs,803705,19,3,7,2015-2021
Portugal,4,hmd,801788.78,111,3,7,2015-2021
Portugal,4,stmf,804457,19,3,7,2015-2021
Portugal,4,unpd,801233,19,3,6,2015-2021
Puerto Rico,1,unpd,179549,22,3,6,2015-2020
Qatar,2,unpd,12259.85235,18,3,6,2015-2020
Qatar,2,who_mort_db,11398,17,3,4,2015-2020
Republic of Korea,1,who_mort_db,1741134,21,3,6,2015-2020
Réunion,1,unpd,29122,22,3,6,2015-2020
Romania,2,eurs,1941847,19,3,7,2015-2021
Romania,2,unpd,1928718,19,3,6,2015-2021
Russia,2,stmf,11183489.25,21,3,6,2015-2020
Russia,2,unpd,11364024,19,3,5,2015-2020
San Marino,1,unpd,1600,19,3,5,2015-2021
Scotland,1,who_mort_db,352894,21,3,6,2015-2020
Serbia,3,eurs,748057,19,3,7,2015-2021
Serbia,3,unpd,739543,19,3,6,2015-2021
Serbia,3,who_mort_db,628197,21,3,6,2015-2020
Seychelles,1,unpd,5404,19,3,7,2015-2021
Singapore,2,unpd,125566,22,3,6,2015-2020
Singapore,2,who_mort_db,118625,19,3,6,2015-2020
Slovakia,3,eurs,400571,19,3,7,2015-2021
Slovakia,3,stmf,400583,19,3,7,2015-2021
Slovakia,3,unpd,399828,19,3,5,2015-2021
Slovenia,4,eurs,148665,19,3,7,2015-2021
Slovenia,4,stmf,148665,19,3,7,2015-2021
Slovenia,4,unpd,148085,19,3,6,2015-2021
Slovenia,4,who_mort_db,125121,19,3,6,2015-2020
South Africa,2,direct,3246059,19,3,6,2015-2020
South Africa,2,unpd,1973135,19,3,3,2015-2020
South Korea,3,hmd,1741134.16,111,3,6,2015-2020
South Korea,3,stmf,2063108,5,3,7,2015-2021
South Korea,3,unpd,2056824,19,3,6,2015-2021
Spain,5,eurs,3040210,19,3,7,2015-2021
Spain,5,hmd,2584377.99,111,3,6,2015-2020
Spain,5,stmf,3040210,19,3,7,2015-2021
Spain,5,unpd,3036053,19,3,6,2015-2021
Spain,5,who_mort_db,2597902,21,3,6,2015-2020
State of Palestine,1,unpd,75293,22,3,6,2015-2020
Suriname,1,unpd,27818,19,3,5,2015-2021
Sweden,4,eurs,633348,19,3,7,2015-2021
Sweden,4,hmd,644894.02,111,3,7,2015-2021
Sweden,4,stmf,552113,19,3,6,2015-2020
Sweden,4,unpd,645862,19,3,6,2015-2021
Switzerland,4,eurs,482296,19,3,7,2015-2021
Switzerland,4,hmd,481673,111,3,7,2015-2021
Switzerland,4,stmf,482390,19,3,7,2015-2021
Switzerland,4,unpd,480807,19,3,6,2015-2021
Taiwan,1,stmf,1218655.2,21,3,7,2015-2021
Thailand,1,unpd,2818933,16,3,6,2015-2020
Tunisia,1,unpd,270468.0106,19,3,4,2015-2020
Turks and Caicos Islands,1,unpd,445,19,3,4,2016-2020
Tuvalu,1,unpd,518,17,3,5,2015-2020
Ukraine,1,unpd,3538164,19,3,6,2015-2020
United Kingdom,3,hmd,3717509.97,111,3,6,2015-2020
United Kingdom,3,unpd,4258291,19,3,6,2015-2021
United Kingdom,3,who_mort_db,3712949,21,3,6,2015-2020
"United Kingdom, Northern Ireland",1,who_mort_db,96308,21,3,6,2015-2020
United States,1,hmd,17348152.61,111,3,6,2015-2020
United States of America,1,who_mort_db,17348153,21,3,6,2015-2020
Uruguay,1,unpd,207842,20,3,6,2016-2021
USA,1,unpd,20771022,19,3,7,2015-2021
Uzbekistan,1,unpd,1127198,19,3,7,2015-2021
