Country,iso3,sex,age,Nx,Dxhat_WM,Dxhat_spinoff,Dx_observed
Albania,ALB,Female,60,95295,244.340832257728,666.4110946607626,589.269293924467
Albania,ALB,Female,65,73946,353.173861033899,925.4996210630524,767.626722353109
Albania,ALB,Female,70,55690,895.687063367773,1424.313682046221,1141.09338188049
Albania,ALB,Female,75,45107,1643.70380681442,2366.2936962799176,1900.83690297708
Albania,ALB,Female,80,28149,2811.22782015883,2987.010125360891,2645.79942171771
Albania,ALB,Female,85,17498,7369.52838553642,2460.860835298012,3956.38163061326
Albania,ALB,Male,0,86564,129.310211469689,163.12856819819515,171.459627329193
Albania,ALB,Male,5,87732,10.398008013173,16.560782571762303,9.85400157064325
Albania,ALB,Male,10,86957,16.3308606474548,22.229809092353698,13.7956021989005
Albania,ALB,Male,15,106218,39.7295139349472,42.14905215221287,28.5766045548654
Albania,ALB,Male,20,117374,66.3354246953557,57.381839111199625,51.2408081673449
Albania,ALB,Male,25,129317,63.9764226587691,79.13746748461108,59.1240094238595
Albania,ALB,Male,30,122633,49.0915132142376,92.40699050823858,89.6714142928536
Albania,ALB,Male,35,90658,71.3687618263363,113.41171703583478,129.087420575427
Albania,ALB,Male,40,75896,153.119561000996,136.80357319633063,171.459627329193
Albania,ALB,Male,45,80264,213.677839350792,237.20767237807533,261.131041622046
Albania,ALB,Male,50,88504,408.497685073795,410.2783290038468,437.51766973656
Albania,ALB,Male,55,98654,565.741931846261,710.8824224990997,872.079139001928
Albania,ALB,Male,60,91164,1032.95439271454,962.3388934126455,1235.69179695866
Albania,ALB,Male,65,69837,945.563292286555,1214.8025593782183,1552.00524737631
Albania,ALB,Male,70,52442,1241.4574292453,1590.7645302639808,1844.66909402442
Albania,ALB,Male,75,41429,1985.43952997038,2248.8924344011334,2596.5294138645
Albania,ALB,Male,80,25727,2658.75538505411,2670.123758407928,3001.52887841793
Albania,ALB,Male,85,13344,3906.89358070773,1874.765467967766,2979.85007496252
Andorra,AND,Female,0,1401,0.454979096820102,NA,0.001401
Andorra,AND,Female,5,1616,0.085385561279008,NA,0.001616
Andorra,AND,Female,10,2021,0.0915849200695322,NA,0.002021
Andorra,AND,Female,15,1877,0.0984373633664537,NA,0.001877
Andorra,AND,Female,20,1862,0.100753802385447,NA,0.001862
Andorra,AND,Female,25,1679,0.544396857040371,NA,0.001679
Andorra,AND,Female,30,2055,0.556777558629639,NA,0.002055
Andorra,AND,Female,35,2929,1.13942664119892,NA,1.99049881235154
Andorra,AND,Female,40,3473,1.73468626054271,NA,1.99049881235154
Andorra,AND,Female,45,3678,2.92266202894675,NA,2.98574821852731
Andorra,AND,Female,50,3372,4.69493012552638,NA,1.99049881235154
Andorra,AND,Female,55,3105,6.59241187364528,NA,7.96199524940618
Andorra,AND,Female,60,2478,7.46134682628577,NA,11.9429928741093
Andorra,AND,Female,65,1853,9.69730462361756,NA,8.95724465558195
Andorra,AND,Female,70,1524,12.6186088663997,NA,12.938242280285
Andorra,AND,Female,75,1147,17.9698804608877,NA,13.9334916864608
Andorra,AND,Female,80,826,20.9000394354866,NA,17.9144893111639
Andorra,AND,Female,85,1143,82.2711988989077,NA,80.6152019002376
Andorra,AND,Male,0,1487,0.473809601346439,NA,0.995249406175772
Andorra,AND,Male,5,1614,0.0891533338651723,NA,1.99049881235154
Andorra,AND,Male,10,2078,0.0907257017188675,NA,0.002078
Andorra,AND,Male,15,2067,0.51497419218581,NA,0.995249406175772
Andorra,AND,Male,20,2070,0.537831665393821,NA,0.995249406175772
Andorra,AND,Male,25,1912,1.11543426132497,NA,0.001912
Andorra,AND,Male,30,2108,1.16082459078222,NA,0.002108
Andorra,AND,Male,35,2848,2.41627168229536,NA,2.98574821852732
Andorra,AND,Male,40,3493,3.72259364022317,NA,6.9667458432304
Andorra,AND,Male,45,3812,6.27851824623876,NA,3.98099762470309
Andorra,AND,Male,50,3584,9.35340606184723,NA,10.9477434679335
Andorra,AND,Male,55,3348,13.1603107175478,NA,14.9287410926366
Andorra,AND,Male,60,2662,16.8067833233153,NA,22.8907363420428
Andorra,AND,Male,65,1989,20.3642760300072,NA,32.8432304038005
Andorra,AND,Male,70,1584,27.122923906009,NA,27.8669833729216
Andorra,AND,Male,75,1135,30.045720659325,NA,32.8432304038005
Andorra,AND,Male,80,671,28.8323586418494,NA,22.8907363420428
Andorra,AND,Male,85,764,70.1016644626188,NA,71.6579572446556
United Arab Emirates,ARE,Female,0,244293,237.799941367264,232.21892153774039,NA
United Arab Emirates,ARE,Female,5,251005,31.8832849112948,26.608444275848562,NA
United Arab Emirates,ARE,Female,10,222416,33.7716028076956,19.56756497987202,NA
United Arab Emirates,ARE,Female,15,188927,53.0274433409047,44.79243637855144,NA
United Arab Emirates,ARE,Female,20,228503,81.6552416562068,46.79317772022823,NA
United Arab Emirates,ARE,Female,25,351157,148.646719932876,62.81519246289328,NA
United Arab Emirates,ARE,Female,30,473808,264.562275666669,95.50789541227788,NA
United Arab Emirates,ARE,Female,35,406649,348.086398320087,93.34934799948975,NA
United Arab Emirates,ARE,Female,40,238107,346.980185305519,108.50188129727812,NA
United Arab Emirates,ARE,Female,45,157915,391.764734433919,190.9189998509525,NA
United Arab Emirates,ARE,Female,50,120989,470.668807901639,247.0131678628941,NA
United Arab Emirates,ARE,Female,55,86040,500.143789616165,404.14758097434935,NA
United Arab Emirates,ARE,Female,60,42276,373.601461245076,560.1440920577146,NA
United Arab Emirates,ARE,Female,65,19923,294.341372826512,466.2988368240885,NA
United Arab Emirates,ARE,Female,70,12071,297.014716736809,480.50978887206014,NA
United Arab Emirates,ARE,Female,75,5006,203.208478750198,403.778406071512,NA
United Arab Emirates,ARE,Female,80,2754,222.159811424999,448.5612368610521,NA
United Arab Emirates,ARE,Female,85,2212,399.926190541088,449.0614826237836,NA
United Arab Emirates,ARE,Male,0,254845,293.240648062348,335.7161758450267,NA
United Arab Emirates,ARE,Male,5,261570,38.7614989602638,38.635944036284776,NA
United Arab Emirates,ARE,Male,10,231043,38.7203596354931,35.8255666959128,NA
United Arab Emirates,ARE,Male,15,200605,115.459220261776,278.7364913749371,NA
United Arab Emirates,ARE,Male,20,487250,415.941007603104,420.8111505278368,NA
United Arab Emirates,ARE,Male,25,1082433,873.78425934953,676.5900518711342,NA
United Arab Emirates,ARE,Male,30,1321938,1150.36124418356,739.1124120548253,NA
United Arab Emirates,ARE,Male,35,966919,1130.16052429601,749.5532027462262,NA
United Arab Emirates,ARE,Male,40,677914,1275.01264848165,804.3069781674095,NA
United Arab Emirates,ARE,Male,45,534173,1646.87467073588,1163.278250268905,NA
United Arab Emirates,ARE,Male,50,335612,1708.38117729356,1140.841376139937,NA
United Arab Emirates,ARE,Male,55,255272,2186.77303223222,1734.5381551141627,NA
United Arab Emirates,ARE,Male,60,143690,1945.85274911873,2679.949312862328,NA
United Arab Emirates,ARE,Male,65,36818,821.377798879053,934.0499300868946,NA
United Arab Emirates,ARE,Male,70,24189,1023.78434404446,1353.8643164836894,NA
United Arab Emirates,ARE,Male,75,14618,927.003158125674,1513.553426242406,NA
United Arab Emirates,ARE,Male,80,4405,440.193573158877,793.7078991033835,NA
United Arab Emirates,ARE,Male,85,3055,686.983686170242,894.8211453633122,NA
Argentina,ARG,Female,0,1833225,2227.82371499944,3410.0492911346682,NA
Argentina,ARG,Female,5,1820688,203.580691410107,255.93864523050974,NA
Argentina,ARG,Female,10,1766041,255.775524289083,321.17148047781603,NA
Argentina,ARG,Female,15,1739689,639.664535357247,609.239036946963,NA
Argentina,ARG,Female,20,1714597,885.029947356355,683.9310495620701,NA
Argentina,ARG,Female,25,1745039,976.200653524666,829.0551299465869,NA
Argentina,ARG,Female,30,1660236,1226.16433801064,1133.4952149791125,NA
Argentina,ARG,Female,35,1572135,1805.39590830408,1555.8615309058366,NA
Argentina,ARG,Female,40,1571745,2515.95876690154,2420.1712753617808,NA
Argentina,ARG,Female,45,1359574,3441.74860842548,3561.446533840187,NA
Argentina,ARG,Female,50,1198262,4645.61498630277,4939.8790911191045,NA
Argentina,ARG,Female,55,1119816,7151.93140624274,7318.922475682261,NA
Argentina,ARG,Female,60,1006668,10535.9991071628,9911.374114678007,NA
Argentina,ARG,Female,65,899258,14121.7986168379,13374.364821131236,NA
Argentina,ARG,Female,70,758347,18582.7146906249,17305.06336372953,NA
Argentina,ARG,Female,75,577676,21550.1777521804,21969.195552939455,NA
Argentina,ARG,Female,80,406456,27538.1343687268,28161.378745300644,NA
Argentina,ARG,Female,85,397179,68171.1816801433,31809.26500326601,NA
Argentina,ARG,Male,0,1903426,2930.29843560785,3753.1467353481075,NA
Argentina,ARG,Male,5,1889129,245.203643686483,279.8186721584041,NA
Argentina,ARG,Male,10,1831221,354.617243578532,368.2414906707603,NA
Argentina,ARG,Male,15,1799760,1390.74567453893,1498.3729780608448,NA
Argentina,ARG,Male,20,1762738,2187.10960231557,2242.1059751648977,NA
Argentina,ARG,Male,25,1775210,2171.12695311828,2236.359414616284,NA
Argentina,ARG,Male,30,1658744,2266.55219313388,2256.7578225799443,NA
Argentina,ARG,Male,35,1550297,2926.64041868744,2551.2929248057103,NA
Argentina,ARG,Male,40,1518156,3722.69695982862,3509.191822235465,NA
Argentina,ARG,Male,45,1278269,5032.44488100524,4720.114789974703,NA
Argentina,ARG,Male,50,1103469,7207.84773640585,7293.3690914021845,NA
