Country,Code,Year,Sex,Age,Deaths,Source
Albania,ALB,2015,f,0,99,unpd
Albania,ALB,2015,f,1,24,unpd
Albania,ALB,2015,f,5,24,unpd
Albania,ALB,2015,f,10,30,unpd
Albania,ALB,2015,f,15,40,unpd
Albania,ALB,2015,f,20,30,unpd
Albania,ALB,2015,f,25,42,unpd
Albania,ALB,2015,f,30,44,unpd
Albania,ALB,2015,f,35,57,unpd
Albania,ALB,2015,f,40,98,unpd
Albania,ALB,2015,f,45,151,unpd
Albania,ALB,2015,f,50,233,unpd
Albania,ALB,2015,f,55,292,unpd
Albania,ALB,2015,f,60,413,unpd
Albania,ALB,2015,f,65,600,unpd
Albania,ALB,2015,f,70,1135,unpd
Albania,ALB,2015,f,75,1714,unpd
Albania,ALB,2015,f,80,2132,unpd
Albania,ALB,2015,f,85,1740,unpd
Albania,ALB,2015,f,90,1110,unpd
Albania,ALB,2015,f,95,417,unpd
Albania,ALB,2015,f,100,156,unpd
Albania,ALB,2015,f,TOT,10581,unpd
Albania,ALB,2015,m,0,134,unpd
Albania,ALB,2015,m,1,38,unpd
Albania,ALB,2015,m,5,16,unpd
Albania,ALB,2015,m,10,19,unpd
Albania,ALB,2015,m,15,73,unpd
Albania,ALB,2015,m,20,90,unpd
Albania,ALB,2015,m,25,89,unpd
Albania,ALB,2015,m,30,80,unpd
Albania,ALB,2015,m,35,102,unpd
Albania,ALB,2015,m,40,172,unpd
Albania,ALB,2015,m,45,266,unpd
Albania,ALB,2015,m,50,477,unpd
Albania,ALB,2015,m,55,674,unpd
Albania,ALB,2015,m,60,851,unpd
Albania,ALB,2015,m,65,1020,unpd
Albania,ALB,2015,m,70,1547,unpd
Albania,ALB,2015,m,75,2076,unpd
Albania,ALB,2015,m,80,2058,unpd
Albania,ALB,2015,m,85,1334,unpd
Albania,ALB,2015,m,90,534,unpd
Albania,ALB,2015,m,95,150,unpd
Albania,ALB,2015,m,100,37,unpd
Albania,ALB,2015,m,TOT,11837,unpd
Albania,ALB,2015,t,0,233,unpd
Albania,ALB,2015,t,1,62,unpd
Albania,ALB,2015,t,5,40,unpd
Albania,ALB,2015,t,10,49,unpd
Albania,ALB,2015,t,15,113,unpd
Albania,ALB,2015,t,20,120,unpd
Albania,ALB,2015,t,25,131,unpd
Albania,ALB,2015,t,30,124,unpd
Albania,ALB,2015,t,35,159,unpd
Albania,ALB,2015,t,40,270,unpd
Albania,ALB,2015,t,45,417,unpd
Albania,ALB,2015,t,50,710,unpd
Albania,ALB,2015,t,55,966,unpd
Albania,ALB,2015,t,60,1264,unpd
Albania,ALB,2015,t,65,1620,unpd
Albania,ALB,2015,t,70,2682,unpd
Albania,ALB,2015,t,75,3790,unpd
Albania,ALB,2015,t,80,4190,unpd
Albania,ALB,2015,t,85,3074,unpd
Albania,ALB,2015,t,90,1644,unpd
Albania,ALB,2015,t,95,567,unpd
Albania,ALB,2015,t,100,193,unpd
Albania,ALB,2015,t,TOT,22418,unpd
Albania,ALB,2016,f,0,131,unpd
Albania,ALB,2016,f,1,25,unpd
