"Country" "iso3" "sex" "age" "Nx" "deaths" "cluster" "lmx" "lmx.hat" "lmx.hatU" "lmx.hatL"
"1" "Afghanistan" "AFG" "Female" 0 2747452 32673.000001 3 -4.43188016690524 NA NA NA
"2" "Afghanistan" "AFG" "Female" 5 2636519 1195.000001 3 -7.69906857924806 NA NA NA
"3" "Afghanistan" "AFG" "Female" 10 2501560 880.000001 3 -7.95250318662277 NA NA NA
"4" "Afghanistan" "AFG" "Female" 15 2197654 2594.000001 3 -6.74194462046006 NA NA NA
"5" "Afghanistan" "AFG" "Female" 20 1843985 3303.000001 3 -6.32485312288181 NA NA NA
"6" "Afghanistan" "AFG" "Female" 25 1433056 3465.000001 3 -6.02485187298969 NA NA NA
"7" "Afghanistan" "AFG" "Female" 30 1138037 3588.000001 3 -5.7594651828635 NA NA NA
"8" "Afghanistan" "AFG" "Female" 35 954327 4472.000001 3 -5.36317064393618 NA NA NA
"9" "Afghanistan" "AFG" "Female" 40 758533 5245.000001 3 -4.97411106272483 NA NA NA
"10" "Afghanistan" "AFG" "Female" 45 603870 6103.000001 3 -4.59457848925484 NA NA NA
"11" "Afghanistan" "AFG" "Female" 50 485051 7201.000001 3 -4.2100341346427 NA NA NA
"12" "Afghanistan" "AFG" "Female" 55 382185 8387.000001 3 -3.81922189644669 NA NA NA
"13" "Afghanistan" "AFG" "Female" 60 296241 9273.000001 3 -3.4640663603151 NA NA NA
"14" "Afghanistan" "AFG" "Female" 65 223557 9878.000001 3 -3.11935635287547 NA NA NA
"15" "Afghanistan" "AFG" "Female" 70 165093 10897.000001 3 -2.71802142939439 NA NA NA
"16" "Afghanistan" "AFG" "Female" 75 85284 8380.000001 3 -2.32013894901944 NA NA NA
"17" "Afghanistan" "AFG" "Female" 80 41195 5960.000001 3 -1.93324640852251 NA NA NA
"18" "Afghanistan" "AFG" "Female" 85 18431 4366.000001 3 -1.44018677121269 NA NA NA
"19" "Afghanistan" "AFG" "Male" 0 2891330 38888.000001 3 -4.30878616308702 NA NA NA
"20" "Afghanistan" "AFG" "Male" 5 2765393 1297.000001 3 -7.66488413156662 NA NA NA
"21" "Afghanistan" "AFG" "Male" 10 2614937 1011.000001 3 -7.85805534340316 NA NA NA
"22" "Afghanistan" "AFG" "Male" 15 2321520 3384.000001 3 -6.53091898050292 NA NA NA
"23" "Afghanistan" "AFG" "Male" 20 1950650 4326.000001 3 -6.11127460158588 NA NA NA
"24" "Afghanistan" "AFG" "Male" 25 1551332 3955.000001 3 -5.97188859424558 NA NA NA
"25" "Afghanistan" "AFG" "Male" 30 1255855 3849.000001 3 -5.78775851994247 NA NA NA
"26" "Afghanistan" "AFG" "Male" 35 1033269 4217.000001 3 -5.50135886680094 NA NA NA
"27" "Afghanistan" "AFG" "Male" 40 834402 5082.000001 3 -5.10101041552087 NA NA NA
"28" "Afghanistan" "AFG" "Male" 45 649695 5738.000001 3 -4.72939230426379 NA NA NA
"29" "Afghanistan" "AFG" "Male" 50 510215 6840.000001 3 -4.31204447373008 NA NA NA
"30" "Afghanistan" "AFG" "Male" 55 396317 7833.000001 3 -3.92386881755894 NA NA NA
"31" "Afghanistan" "AFG" "Male" 60 293294 8815.000001 3 -3.50472070294079 NA NA NA
"32" "Afghanistan" "AFG" "Male" 65 207687 9046.000001 3 -3.13370946748258 NA NA NA
"33" "Afghanistan" "AFG" "Male" 70 134696 8510.000001 3 -2.76177844465271 NA NA NA
"34" "Afghanistan" "AFG" "Male" 75 73674 6720.000001 3 -2.39456180072256 NA NA NA
"35" "Afghanistan" "AFG" "Male" 80 32215 4356.000001 3 -2.00087797729032 NA NA NA
"36" "Afghanistan" "AFG" "Male" 85 13246 3081.000001 3 -1.45844140012369 NA NA NA
"37" "AFRO" "AFRO" "Female" 0 83900420 1231703.000047 NA -4.22123285476158 NA NA NA
"38" "AFRO" "AFRO" "Female" 5 75384182 142067.000047 NA -6.27405396654833 NA NA NA
"39" "AFRO" "AFRO" "Female" 10 66249782 75860.000047 NA -6.7722979163967 NA NA NA
"40" "AFRO" "AFRO" "Female" 15 57061421 58586.000047 NA -6.88138776707529 NA NA NA
"41" "AFRO" "AFRO" "Female" 20 49148142 71153.000047 NA -6.53776183346697 NA NA NA
"42" "AFRO" "AFRO" "Female" 25 42523254 86511.000047 NA -6.19753478419404 NA NA NA
"43" "AFRO" "AFRO" "Female" 30 36781241 102687.000047 NA -5.88105771165125 NA NA NA
"44" "AFRO" "AFRO" "Female" 35 31081026 116240.000047 NA -5.58869579585336 NA NA NA
"45" "AFRO" "AFRO" "Female" 40 25219044 124577.000047 NA -5.31043070337551 NA NA NA
"46" "AFRO" "AFRO" "Female" 45 20373907 132160.000047 NA -5.03799698237009 NA NA NA
"47" "AFRO" "AFRO" "Female" 50 16395370 144160.000047 NA -4.7338304626941 NA NA NA
"48" "AFRO" "AFRO" "Female" 55 13259531 159973.000047 NA -4.41746684229417 NA NA NA
"49" "AFRO" "AFRO" "Female" 60 10417876 186222.000047 NA -4.02433894511776 NA NA NA
"50" "AFRO" "AFRO" "Female" 65 7779904 203788.000047 NA -3.64221903973513 NA NA NA
"51" "AFRO" "AFRO" "Female" 70 5370801 224466.000047 NA -3.17500809012967 NA NA NA
"52" "AFRO" "AFRO" "Female" 75 3326652 215754.000047 NA -2.73558280182371 NA NA NA
"53" "AFRO" "AFRO" "Female" 80 1676647 173456.000047 NA -2.26862727954472 NA NA NA
"54" "AFRO" "AFRO" "Female" 85 801302 162467.000047 NA -1.59576300021191 NA NA NA
"55" "AFRO" "AFRO" "Male" 0 86337139 1476170.000047 NA -4.06880895741135 NA NA NA
"56" "AFRO" "AFRO" "Male" 5 77306316 154429.000047 NA -6.2157964947777 NA NA NA
"57" "AFRO" "AFRO" "Male" 10 67671983 101791.000047 NA -6.49950584074661 NA NA NA
"58" "AFRO" "AFRO" "Male" 15 57984344 85389.000047 NA -6.52071103462795 NA NA NA
"59" "AFRO" "AFRO" "Male" 20 49606903 101918.000047 NA -6.18771670755784 NA NA NA
"60" "AFRO" "AFRO" "Male" 25 42594885 108084.000047 NA -5.97658075160144 NA NA NA
