Country,iso3,sex,age,mx,Cluster,variant
Sudan,SDN,Female,45,0.004741595336535715,3,mx_WM
Sudan,SDN,Female,50,0.007288023507519301,3,mx_WM
Sudan,SDN,Female,55,0.011030298149265167,3,mx_WM
Sudan,SDN,Female,60,0.018215847577293436,3,mx_WM
Sudan,SDN,Female,65,0.028224939658937107,3,mx_WM
Sudan,SDN,Female,70,0.046056725390510776,3,mx_WM
Sudan,SDN,Female,75,0.07332335638084,3,mx_WM
Sudan,SDN,Female,80,0.12006540719306756,3,mx_WM
Sudan,SDN,Female,85,0.2128823906695054,3,mx_WM
Sudan,SDN,Male,0,0.014615361748272004,3,mx_pred_mean
Sudan,SDN,Male,5,0.001209358809600201,3,mx_pred_mean
Sudan,SDN,Male,10,7.151306539302959e-4,3,mx_pred_mean
Sudan,SDN,Male,15,0.0010511950667462361,3,mx_pred_mean
Sudan,SDN,Male,20,0.0014367729635431873,3,mx_pred_mean
Sudan,SDN,Male,25,0.0016583397764835849,3,mx_pred_mean
Sudan,SDN,Male,30,0.002045966870051477,3,mx_pred_mean
Sudan,SDN,Male,35,0.002690919284375545,3,mx_pred_mean
Sudan,SDN,Male,40,0.0038458049165327347,3,mx_pred_mean
Sudan,SDN,Male,45,0.005553718056812074,3,mx_pred_mean
