"age" "sex" "cluster" "delta.hat" "delta.hatU" "delta.hatL"
"263" 50 "Female" "8" 0.313826387106299 0.324387052434057 0.30326572177854
"264" 55 "Female" "8" 0.328690613771015 0.335480301657476 0.321900925884555
"265" 60 "Female" "8" 0.322090904137703 0.324397944711933 0.319783863563473
"266" 65 "Female" "8" 0.292478559783964 0.305167534599324 0.279789584968603
"267" 70 "Female" "8" 0.240332077969765 0.253021052785125 0.227643103154404
"268" 75 "Female" "8" 0.173935700042557 0.186624674857918 0.161246725227196
"269" 80 "Female" "8" 0.103843643826824 0.116532618642184 0.0911546690114632
"270" 85 "Female" "8" 0.000626788647267344 0.0133157634626279 -0.0120621861680932
"271" 0 "Male" "8" -0.408020132873795 -0.394004521892696 -0.422035743854894
"272" 5 "Male" "8" -0.323397097570871 -0.307876506508059 -0.338917688633683
"273" 10 "Male" "8" -0.250525342995912 -0.229856027966477 -0.271194658025347
"274" 15 "Male" "8" -0.193754470295153 -0.170750567222992 -0.216758373367314
"275" 20 "Male" "8" -0.143077807078708 -0.120464630844647 -0.16569098331277
"276" 25 "Male" "8" -0.0828666950578339 -0.0622825586757961 -0.103450831439872
"277" 30 "Male" "8" -0.00548270059766437 0.0125019374769137 -0.0234673386722425
"278" 35 "Male" "8" 0.090630227266869 0.106071944382666 0.0751885101510723
"279" 40 "Male" "8" 0.197268418278693 0.210736046656517 0.183800789900868
"280" 45 "Male" "8" 0.294926647182326 0.307721153659048 0.282132140705605
"281" 50 "Male" "8" 0.368104471662326 0.381227826936387 0.354981116388265
"282" 55 "Male" "8" 0.410342978604827 0.423715807088725 0.39697015012093
"283" 60 "Male" "8" 0.417825872768433 0.430042664529515 0.40560908100735
"284" 65 "Male" "8" 0.392059364618515 0.403528131288711 0.380590597948319
"285" 70 "Male" "8" 0.336848705347705 0.349454705951117 0.324242704744294
"286" 75 "Male" "8" 0.262985582898393 0.278293033657019 0.247678132139766
"287" 80 "Male" "8" 0.183182693840489 0.200942430226797 0.16542295745418
"288" 85 "Male" "8" 0.0645682816598609 0.0844377837051255 0.0446987796145964
