Country,Code,Year,Sex,Deaths,Age,Source
South Africa,ZAF,2016,t,12253,1,samrc/uct
South Africa,ZAF,2016,t,3532,5,samrc/uct
South Africa,ZAF,2016,t,3301,10,samrc/uct
South Africa,ZAF,2016,t,7443,15,samrc/uct
South Africa,ZAF,2016,t,15120,20,samrc/uct
South Africa,ZAF,2016,t,25031,25,samrc/uct
South Africa,ZAF,2016,t,31029,30,samrc/uct
South Africa,ZAF,2016,t,30399,35,samrc/uct
South Africa,ZAF,2016,t,32804,40,samrc/uct
South Africa,ZAF,2016,t,33249,45,samrc/uct
South Africa,ZAF,2016,t,37238,50,samrc/uct
South Africa,ZAF,2016,t,40069,55,samrc/uct
South Africa,ZAF,2016,t,41281,60,samrc/uct
South Africa,ZAF,2016,t,41742,65,samrc/uct
South Africa,ZAF,2016,t,36539,70,samrc/uct
South Africa,ZAF,2016,t,38125,75,samrc/uct
South Africa,ZAF,2016,t,29660,80,samrc/uct
South Africa,ZAF,2016,t,45248,85,samrc/uct
South Africa,ZAF,2017,f,255281,TOT,samrc/uct
South Africa,ZAF,2017,f,12970,0,samrc/uct
South Africa,ZAF,2017,f,5119,1,samrc/uct
South Africa,ZAF,2017,f,1358,5,samrc/uct
South Africa,ZAF,2017,f,1375,10,samrc/uct
South Africa,ZAF,2017,f,3130,15,samrc/uct
South Africa,ZAF,2017,f,6004,20,samrc/uct
South Africa,ZAF,2017,f,10229,25,samrc/uct
South Africa,ZAF,2017,f,12939,30,samrc/uct
South Africa,ZAF,2017,f,12609,35,samrc/uct
South Africa,ZAF,2017,f,12959,40,samrc/uct
South Africa,ZAF,2017,f,14055,45,samrc/uct
South Africa,ZAF,2017,f,15379,50,samrc/uct
South Africa,ZAF,2017,f,17172,55,samrc/uct
South Africa,ZAF,2017,f,18453,60,samrc/uct
South Africa,ZAF,2017,f,19597,65,samrc/uct
South Africa,ZAF,2017,f,18280,70,samrc/uct
South Africa,ZAF,2017,f,21657,75,samrc/uct
South Africa,ZAF,2017,f,19325,80,samrc/uct
South Africa,ZAF,2017,f,32671,85,samrc/uct
South Africa,ZAF,2017,m,272332,TOT,samrc/uct
South Africa,ZAF,2017,m,13899,0,samrc/uct
South Africa,ZAF,2017,m,5761,1,samrc/uct
South Africa,ZAF,2017,m,1834,5,samrc/uct
South Africa,ZAF,2017,m,1893,10,samrc/uct
South Africa,ZAF,2017,m,4193,15,samrc/uct
South Africa,ZAF,2017,m,8766,20,samrc/uct
South Africa,ZAF,2017,m,13486,25,samrc/uct
South Africa,ZAF,2017,m,17369,30,samrc/uct
South Africa,ZAF,2017,m,17377,35,samrc/uct
South Africa,ZAF,2017,m,18776,40,samrc/uct
South Africa,ZAF,2017,m,18764,45,samrc/uct
South Africa,ZAF,2017,m,20589,50,samrc/uct
South Africa,ZAF,2017,m,23094,55,samrc/uct
South Africa,ZAF,2017,m,23541,60,samrc/uct
South Africa,ZAF,2017,m,23847,65,samrc/uct
South Africa,ZAF,2017,m,18873,70,samrc/uct
South Africa,ZAF,2017,m,17064,75,samrc/uct
South Africa,ZAF,2017,m,10661,80,samrc/uct
South Africa,ZAF,2017,m,12545,85,samrc/uct
South Africa,ZAF,2017,t,527613,TOT,samrc/uct
South Africa,ZAF,2017,t,26869,0,samrc/uct
South Africa,ZAF,2017,t,10880,1,samrc/uct
South Africa,ZAF,2017,t,3192,5,samrc/uct
South Africa,ZAF,2017,t,3268,10,samrc/uct
South Africa,ZAF,2017,t,7323,15,samrc/uct
South Africa,ZAF,2017,t,14770,20,samrc/uct
South Africa,ZAF,2017,t,23715,25,samrc/uct
South Africa,ZAF,2017,t,30308,30,samrc/uct
South Africa,ZAF,2017,t,29986,35,samrc/uct
South Africa,ZAF,2017,t,31735,40,samrc/uct
South Africa,ZAF,2017,t,32819,45,samrc/uct
South Africa,ZAF,2017,t,35968,50,samrc/uct
South Africa,ZAF,2017,t,40266,55,samrc/uct
South Africa,ZAF,2017,t,41994,60,samrc/uct
South Africa,ZAF,2017,t,43444,65,samrc/uct
South Africa,ZAF,2017,t,37153,70,samrc/uct
South Africa,ZAF,2017,t,38721,75,samrc/uct
South Africa,ZAF,2017,t,29986,80,samrc/uct
South Africa,ZAF,2017,t,45216,85,samrc/uct
South Africa,ZAF,2018,f,255751,TOT,samrc/uct
South Africa,ZAF,2018,f,14000,0,samrc/uct
South Africa,ZAF,2018,f,4725,1,samrc/uct
South Africa,ZAF,2018,f,1418,5,samrc/uct
South Africa,ZAF,2018,f,1481,10,samrc/uct
South Africa,ZAF,2018,f,3104,15,samrc/uct
South Africa,ZAF,2018,f,5629,20,samrc/uct
South Africa,ZAF,2018,f,9585,25,samrc/uct
South Africa,ZAF,2018,f,11954,30,samrc/uct
South Africa,ZAF,2018,f,12523,35,samrc/uct
South Africa,ZAF,2018,f,12227,40,samrc/uct
South Africa,ZAF,2018,f,13839,45,samrc/uct
South Africa,ZAF,2018,f,15217,50,samrc/uct
South Africa,ZAF,2018,f,17261,55,samrc/uct
South Africa,ZAF,2018,f,18781,60,samrc/uct
South Africa,ZAF,2018,f,20391,65,samrc/uct
South Africa,ZAF,2018,f,18924,70,samrc/uct
South Africa,ZAF,2018,f,21648,75,samrc/uct
South Africa,ZAF,2018,f,19781,80,samrc/uct
South Africa,ZAF,2018,f,33263,85,samrc/uct
South Africa,ZAF,2018,m,273282,TOT,samrc/uct
South Africa,ZAF,2018,m,15764,0,samrc/uct
South Africa,ZAF,2018,m,5819,1,samrc/uct
South Africa,ZAF,2018,m,1852,5,samrc/uct
South Africa,ZAF,2018,m,1982,10,samrc/uct
South Africa,ZAF,2018,m,4169,15,samrc/uct
South Africa,ZAF,2018,m,8432,20,samrc/uct
South Africa,ZAF,2018,m,13163,25,samrc/uct
South Africa,ZAF,2018,m,16710,30,samrc/uct
South Africa,ZAF,2018,m,17143,35,samrc/uct
South Africa,ZAF,2018,m,17948,40,samrc/uct
South Africa,ZAF,2018,m,18797,45,samrc/uct
South Africa,ZAF,2018,m,19952,50,samrc/uct
South Africa,ZAF,2018,m,23449,55,samrc/uct
South Africa,ZAF,2018,m,23983,60,samrc/uct
South Africa,ZAF,2018,m,24349,65,samrc/uct
South Africa,ZAF,2018,m,19206,70,samrc/uct
South Africa,ZAF,2018,m,17038,75,samrc/uct
South Africa,ZAF,2018,m,11082,80,samrc/uct
South Africa,ZAF,2018,m,12444,85,samrc/uct
South Africa,ZAF,2018,t,529033,TOT,samrc/uct
South Africa,ZAF,2018,t,29764,0,samrc/uct
South Africa,ZAF,2018,t,10544,1,samrc/uct
South Africa,ZAF,2018,t,3270,5,samrc/uct
South Africa,ZAF,2018,t,3463,10,samrc/uct
South Africa,ZAF,2018,t,7273,15,samrc/uct
South Africa,ZAF,2018,t,14061,20,samrc/uct
South Africa,ZAF,2018,t,22748,25,samrc/uct
South Africa,ZAF,2018,t,28664,30,samrc/uct
South Africa,ZAF,2018,t,29666,35,samrc/uct
South Africa,ZAF,2018,t,30175,40,samrc/uct
South Africa,ZAF,2018,t,32636,45,samrc/uct
South Africa,ZAF,2018,t,35169,50,samrc/uct
South Africa,ZAF,2018,t,40710,55,samrc/uct
South Africa,ZAF,2018,t,42764,60,samrc/uct
South Africa,ZAF,2018,t,44740,65,samrc/uct
South Africa,ZAF,2018,t,38130,70,samrc/uct
South Africa,ZAF,2018,t,38686,75,samrc/uct
South Africa,ZAF,2018,t,30863,80,samrc/uct
South Africa,ZAF,2018,t,45707,85,samrc/uct
South Africa,ZAF,2019,f,256282,TOT,samrc/uct
South Africa,ZAF,2019,f,15375,0,samrc/uct
South Africa,ZAF,2019,f,4616,1,samrc/uct
South Africa,ZAF,2019,f,1352,5,samrc/uct
South Africa,ZAF,2019,f,1415,10,samrc/uct
South Africa,ZAF,2019,f,2999,15,samrc/uct
South Africa,ZAF,2019,f,5179,20,samrc/uct
South Africa,ZAF,2019,f,8835,25,samrc/uct
South Africa,ZAF,2019,f,10915,30,samrc/uct
South Africa,ZAF,2019,f,11984,35,samrc/uct
South Africa,ZAF,2019,f,11956,40,samrc/uct
South Africa,ZAF,2019,f,13455,45,samrc/uct
South Africa,ZAF,2019,f,14685,50,samrc/uct
South Africa,ZAF,2019,f,17266,55,samrc/uct
South Africa,ZAF,2019,f,19078,60,samrc/uct
South Africa,ZAF,2019,f,20933,65,samrc/uct
South Africa,ZAF,2019,f,19930,70,samrc/uct
South Africa,ZAF,2019,f,21647,75,samrc/uct
South Africa,ZAF,2019,f,20466,80,samrc/uct
South Africa,ZAF,2019,f,34196,85,samrc/uct
South Africa,ZAF,2019,m,271207,TOT,samrc/uct
